%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at zhaobokun (       48.0000000000).6-Jan-2019 18:55:577.374318e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   15   3   1    5    2.498912 1.649917   4.298083 0.601120   5.014437 2.984700   6  
   2  1   15   2   0    5    8.496191 1.583347  10.211970 1.127654  11.444852 2.551533   6  
   3  1   15   2   0    5   14.493474 1.749937  16.442591 0.541811  17.092296 2.901352   6  
   4  4   15   2   0    6   20.490761 1.599871  22.273278 1.051286  23.439419 2.551476   6  
   5  2   15   2   1    4   26.488035 1.966380  28.686880 1.221490  30.019783 1.968366   6  
   6  1   15   2   0    5   32.501984 1.433334  34.134586 1.174431  35.417329 2.584717   6  
   7  1   15   2   0    5   38.515914 1.683234  40.415061 1.048252  41.581196 2.434946   6  
   8  2   15   2   1    5   44.513191 1.383313  46.162463 0.658608  46.928778 3.084654   6  
   9  3   15   3   1    4   50.510476 2.016297  52.726107 0.894020  53.725689 2.285022   6  
  10  3   15   3   1    4   56.507766 1.666509  58.356865 0.682124  59.156568 2.851431   6  
  11  4   15   4   1    5   62.505042 1.483212  64.154306 0.472047  64.737374 3.267897   6  
  12  4   15   3   0    5   68.502332 2.282929  70.951227 0.665047  71.734199 2.268348   6  
  13  2   15   3   0    5   74.499603 2.066807  76.765243 1.188460  78.064664 1.935179   6  
  14  4   15   2   0    6   80.496888 1.366799  82.062771 0.934952  83.112374 2.884753   6  
  15  2   15   3   0    5   86.494169 1.766527  88.426577 1.113860  89.659408 2.334996   6  
  16  3   15   3   1    5   92.491467 1.666396  94.357286 0.995724  95.473438 2.518228   6  
  17  1   15   2   0    4   98.505389 2.432886 101.087554 1.095605 102.303668 1.701914   6  
  18  2   15   3   0    5  104.502672 1.699805 106.435139 0.658499 107.201457 2.801388   6  
  19  1   15   1   1    6  110.499955 1.166748 111.866009 1.364616 113.348667 2.651427   6  
  20  4   15   3   0    6  116.497237 1.816429 118.546308 0.804606 119.462558 2.534791   6  
  21  3   15   2   0    5  122.494523 1.616673 124.377009 0.882934 125.376540 2.618056   6  
  22  2   15   1   0    6  128.508454 1.083490 129.841196 0.959078 130.907371 3.101318   6  
  23  4   15   4   1    5  134.505739 1.133341 135.871630 0.657231 136.638103 3.367867   6  
  24  3   15   3   1    5  140.503029 1.349841 142.085644 0.705400 142.901934 3.101319   6  
  25  1   15   3   0    5  146.500304 1.566549 148.316152 0.772358 149.199079 2.801458   6  
  26  2   15   2   1    5  152.497589 0.933563 153.596999 0.899560 154.613291 3.384525   6  
  27  2   15   2   1    5  158.511538 1.783228 160.577262 0.686363 161.376899 2.634855   6  
  28  2   15   2   1    5  164.508814 1.166623 165.958150 0.757615 166.824419 3.184618   6  
  29  2   15   2   1    5  170.506097 1.699808 172.455116 0.618502 173.188217 2.818103   6  
  30  4   15   2   0    5  176.503369 1.599915 178.369147 0.467266 178.952262 3.051340   6  
  31  3   15   4   0    2  182.500650 1.483106 184.166570 1.386989 185.665892 2.334986   6  
  32  1   15   4   0    3  188.497928 1.949788 190.780233 1.272889 192.162940 1.835185   6  
  33  3   15   3   1    5  194.495225 1.183245 195.861260 0.866929 196.844162 3.151203   6  
  34  2   15   2   1    4  200.492501 1.499943 202.341661 0.801818 203.257904 2.734731   6  
  35  4   15   4   1    5  206.489779 1.250037 207.955780 0.898021 208.971990 3.017892   6  
  36  4   15   1   0    5  212.487052 1.100083 213.803049 0.698909 214.619428 3.367699   6  
  37  4   15   3   0    5  218.500997 1.749697 220.433326 0.745655 221.299728 2.701491   6  
  38  4   15   3   0    5  224.514943 1.499876 226.214173 1.728882 228.063331 1.951838   6  
  39  4   15   2   0    4  230.512226 1.383132 232.128160 1.786442 234.027292 1.985159   6  
  40  2   15   3   0   -1  236.509502 1.799797 238.491935 0.000000 240.490973 1.518757   6  
  41  2   15   2   1    5  242.506780 1.283380 244.006114 0.861467 244.972326 3.034687   6  
  42  1   15   2   0    5  248.504070 1.849712 250.569689 1.137478 251.819223 2.185070   6  
  43  3   15   1   0    5  254.501348 0.916866 255.667486 1.035379 256.816974 3.184602   6  
  44  1   15   2   0    6  260.498632 1.866371 262.680978 1.252653 264.047023 1.951840   6  
  45  2   15   3   0    5  266.495909 1.433050 268.145063 0.673870 268.928147 3.067990   6  
  46  4   15   4   1    6  272.493174 1.366953 274.075817 0.508693 274.692205 3.301199   6  
  47  3   15   3   1    6  278.490482 1.200178 279.839870 0.816211 280.772774 3.217881   6  
  48  1   15   1   1    6  284.504422 1.233228 286.020389 0.569783 286.703416 3.301173   6  
  49  3   15   2   0    5  290.501696 1.999629 292.817320 0.554983 293.483675 2.518138   6  
  50  1   15   1   1    6  296.498966 1.016887 297.765067 1.409681 299.281050 2.718027   6  
  51  1   15   3   0    4  302.496258 1.833260 304.528669 1.159082 305.794752 2.201571   6  
  52  1   15   1   1    4  308.510208 1.366791 310.192657 1.370771 311.675435 2.334996   6  
  53  4   15   4   1    4  314.507480 1.333213 316.089940 0.993475 317.189603 2.818111   6  
  54  3   15   4   0    4  320.504765 1.316728 322.120702 1.061015 323.286835 2.718155   6  
  55  3   15   3   1    4  326.502040 1.549758 328.251245 1.613928 329.983797 2.018481   6  
  56  4   15   3   0    2  332.499318 1.833023 334.448449 0.017581 334.581709 3.417841   6  
  57  1   15   1   1    7  338.496599 0.816771 339.496016 0.562903 340.179184 3.817662   6  
  58  2   15   4   0    7  344.510531 1.333404 346.043173 0.701430 346.859486 3.151289   6  
  59  4   15   4   1    6  350.507843 1.833167 352.556810 0.828431 353.506464 2.501598   6  
  60  2   15   2   1    6  356.505113 1.649867 358.387587 0.648583 359.153915 2.851425   6  
  61  1   15   4   0    5  362.502384 1.151437 363.885107 0.753156 364.751377 3.251235   6  
  62  2   15   2   1    6  368.499667 1.633290 370.332174 0.630353 371.081844 2.918020   6  
  63  4   15   4   1    4  374.496960 1.799741 376.446080 1.144896 377.695512 2.301596   6  
  64  4   15   4   1    5  380.494244 1.616504 382.293423 1.067952 383.476232 2.518136   6  
  65  3   15   2   0    3  386.491517 1.716969 388.540596 1.517261 390.173176 1.818441   6  
  66  1   15   4   0    5  392.488803 1.433307 394.154723 1.411635 395.687358 2.301498   6  
  67  3   15   4   0    6  398.502730 1.716440 400.468528 0.958557 401.534703 2.468262   6  
  68  2   15   1   0    3  404.500017 2.066256 406.732348 1.101079 407.948466 2.051780   6  
  69  4   15   3   0    2  410.513964 2.049615 412.729511 1.001530 413.845782 2.168412   6  
  70  4   15   1   0    3  416.511249 1.416685 418.160476 1.400664 419.676472 2.334996   6  
  71  3   15   4   0    7  422.508517 1.383308 424.057757 0.967355 425.140665 2.868091   6  
  72  4   15   4   1    5  428.505801 2.016455 430.754800 1.022379 431.887603 2.118442   6  
  73  3   15   3   1    6  434.503086 1.483227 436.135684 1.516923 437.768277 2.235037   6  
  74  3   15   2   0    6  440.500378 1.400299 442.149590 0.746315 443.015893 2.984713   6  
  75  2   15   4   0    6  446.497630 1.049978 447.730384 0.482698 448.330160 3.667723   6  
  76  3   15   3   1    4  452.494924 1.783102 454.460646 0.770557 455.343641 2.651505   6  
  77  1   15   2   0    5  458.492213 1.783168 460.491317 1.242256 461.840710 2.151675   6  
  78  3   15   3   1    4  464.489502 1.933166 466.571760 0.922915 467.604754 2.384884   6  
  79  2   15   4   0    6  470.503431 1.916329 472.602479 1.160553 473.868572 2.134997   6  
  80  1   15   1   1    6  476.500705 1.116633 477.783480 1.602067 479.499365 2.501442   6  
  81  2   15   4   0    6  482.498002 1.283357 483.997323 0.902745 485.013529 2.984535   6  
  82  3   15   3   1    5  488.511935 1.883286 490.727544 1.690708 492.526795 1.485383   6  
  83  2   15   2   1    5  494.509226 2.482590 497.274566 0.816496 498.207543 1.801900   6  
  84  1   15   1   1    4  500.506482 1.216632 501.955844 0.854010 502.922072 3.084667   6  
  85  1   15   1   1    7  506.503785 1.316727 508.119618 0.591372 508.819411 3.184598   6  
  86  4   15   2   0    4  512.501057 1.566388 514.383427 0.928223 515.416418 2.584884   6  
  87  4   15   4   1    5  518.498350 1.133553 519.864404 0.761668 520.747334 3.251239   6  
  88  3   15   4   0    7  524.495633 1.116752 525.844966 0.417778 526.378115 3.617743   6  
  89  2   15   4   0    6  530.492920 1.416594 532.192131 0.685816 532.991782 3.001360   6  
  90  3   15   3   1    3  536.506832 1.333333 538.122639 0.708482 538.939081 3.067998   6  
]; % This session completes at 06-Jan-2019 19:05:24, 544.005s after session start, 540s on 90 trials, totally 566.494s.

