%% MetaTwinsTri_behave_Conf for '_guess': starting at wangjiteng (       50.0000000000).7-Apr-2019 12:44:357.375425e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   5    2   0    4      3      2.498888 1.499615   4.514630 1.272149   5.913994 2.085099   6  
   2  1   5    4   0    5      5      8.496183 1.083724  10.095452 0.510947  10.728500 3.267912   6  
   3  2   5    4   0    4      4     14.493456 1.766257  16.775760 0.932875  17.825290 2.168364   6  
   4  2   5    3   0    6      5     20.490772 1.183609  22.190004 0.348060  22.656459 3.334541   6  
   5  2   5    3   0    4      3     26.504699 1.432977  28.453830 1.283395  29.853188 2.151679   6  
   6  3   5    2   0    5      5     32.502012 1.483327  34.501097 0.656384  35.284097 2.718135   6  
   7  3   5    3   1    5      4     38.499291 1.616288  40.631664 0.616620  41.364659 2.634776   6  
   8  2   5    3   0    3      5     44.496596 1.883612  46.895501 0.862247  47.878399 2.118429   6  
   9  3   5    2   0    4      2     50.493867 1.416389  52.426338 0.804424  53.342582 2.651408   6  
  10  2   5    3   0    6      2     56.491173 1.566552  58.573567 0.812645  59.506483 2.484928   6  
  11  1   5    4   0    6      5     62.488468 1.316467  64.320965 1.456217  65.903586 2.084953   6  
  12  2   5    4   0    5      4     68.485766 1.533329  70.534836 0.768939  71.417766 2.568215   6  
  13  1   5    3   0    3      1     74.499712 1.882689  76.898614 0.770748  77.798224 2.201524   6  
  14  1   5    2   0    5      3     80.497009 1.533218  82.546088 0.885911  83.562281 2.434886   6  
  15  3   5    3   1    5      3     86.510945 1.366404  88.393438 0.826458  89.343016 2.668161   6  
  16  1   5    3   0    5      5     92.508251 1.233769  94.257460 0.673630  95.057102 2.951397   6  
  17  4   5    3   0    4      1     98.505529 1.699369 100.721218 0.697645 101.537499 2.468261   6  
  18  1   5    2   0    5      5    104.502839 1.450251 106.468617 0.809220 107.401530 2.601548   6  
  19  3   5    2   0    5      3    110.500122 1.449684 112.465909 0.624003 113.215552 2.784784   6  
  20  2   5    2   1    5      5    116.514083 1.416967 118.446530 0.953748 119.529375 2.484948   6  
  21  4   5    1   0    4      3    122.511363 1.533034 124.560442 0.995408 125.676610 2.334973   6  
  22  3   5    4   0    3      2    128.508658 1.966320 130.990885 0.616840 131.723881 2.285008   6  
  23  1   5    4   0    5      6    134.505943 1.566057 136.588338 0.826725 137.537935 2.468243   6  
  24  3   5    2   0    5      5    140.503244 1.533532 142.552326 0.786063 143.451805 2.551681   6  
  25  2   5    1   0    6      3    146.500529 1.582955 148.599599 1.282067 149.998957 2.001805   6  
  26  3   5    2   0    4      3    152.497839 1.833380 154.846768 0.709722 155.679729 2.318325   6  
  27  3   5    3   1    6      3    158.495115 2.049472 161.060633 1.029439 162.210109 1.785236   6  
  28  2   5    2   1    2      1    164.509083 2.150215 167.174545 0.931028 168.224017 1.785275   6  
  29  1   5    3   0    4      1    170.506356 1.799438 172.822004 1.123856 174.071410 1.935182   6  
  30  3   5    3   1    4      2    176.503667 1.533349 178.552739 0.701643 179.369032 2.634857   6  
  31  3   5    4   0    5      5    182.500943 1.266479 184.283474 0.754141 185.166408 2.834773   6  
  32  4   5    4   1    6      5    188.498242 1.650070 190.663938 0.388351 191.180374 2.818095   6  
  33  4   5    4   1    5      6    194.495540 1.166525 196.178125 0.578564 196.877784 3.117963   6  
  34  4   5    3   0    4      5    200.492886 1.999754 203.008363 0.475949 203.608099 2.384959   6  
  35  4   5    2   0    6      5    206.506778 1.283114 208.305954 0.853207 209.272197 2.734761   6  
  36  2   5    3   0    6      3    212.504071 1.416911 214.436542 0.822736 215.386111 2.618196   6  
  37  4   5    2   0    4      3    218.501362 1.699619 220.717036 0.664600 221.499999 2.501524   6  
  38  3   5    3   1    7      5    224.498659 1.450055 226.464440 0.841537 227.430674 2.568219   6  
  39  2   5    2   1    6      5    230.495950 1.666216 232.678294 0.688546 233.494595 2.501489   6  
