%% MetaTwins_RDMsc_training for 'wangqiuyang': starting at _nofeedback (       50.0000000000).7-Apr-2019 16:41:26 for '7.375427e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  12  4    4   1    0    7    2.498964   0    0  1.100070   3.715093 0.169355   3.998249  0   0    3.998249 1.000938   3  
   2  12  4    3   0    0    5    5.497601   0    0  1.333319   6.980308 0.474995   7.579995  0   0    7.579995 1.417852   4  
   3  12  1    1   1    0    7    9.495810   0    0  1.317618  10.945149 0.121989  11.195044  0   0   11.195044 0.800983   3  
   4  12  1    2   0    0    5   12.494461   0    0  1.484059  14.110408 0.370891  14.610174  0   0   14.610174 1.384513   4  
   5  12  2    4   0    0    7   16.492648   0    0  1.350800  17.958665 0.364648  18.441778  0   0   18.441778 0.551109   3  
   6  13  3    3   1    0    6   19.491296   0    0  1.117940  20.740740 0.420986  21.290493  0   0   21.290493 0.701032   3  
   7  13  3    4   0    0    7   22.489946   0    0  1.001176  23.622760 0.145916  23.889321  0   0   23.889321 1.100861   3  
   8  13  2    2   1    0    6   25.505247   0    0  0.951227  26.604773 0.101540  26.821321  0   0   26.821321 1.184157   3  
   9  13  4    4   1    0    7   28.503900   0    0  0.984870  29.603449 0.187819  29.903269  0   0   29.903269 1.100863   3  
  10  12  4    3   0    0    7   31.502547   0    0  0.950928  32.602043 0.204391  32.918579  0   0   32.918579 1.084199   3  
  11  12  2    2   1    0    5   34.501194   0    0  0.817668  35.434107 0.289768  35.833925  0   0   35.833925 1.167497   3  
  12  12  4    4   1    0    7   37.499831   0    0  1.634232  39.249044 0.158467  39.532255  0   0   39.532255 1.467816   4  
  13  11  1    2   0    0    7   41.498038   0    0  1.100821  42.747472 0.156162  43.030671  0   0   43.030671 0.967594   3  
  14  11  1    2   0    0    7   44.496675   0    0  1.234557  45.862730 0.270233  46.245897  0   0   46.245897 0.750861   3  
  15  12  4    4   1    0    5   47.495323   0    0  1.700882  49.311179 0.209410  49.644349  0   0   49.644349 1.351199   4  
  16  12  4    4   1    0    7   51.493574   0    0  0.984317  52.609689 0.106909  52.842956  0   0   52.842956 1.150792   3  
  17  11  4    2   0    0    5   54.492163   0    0  0.951418  55.608326 0.216258  55.941506  0   0   55.941506 1.050853   3  
  18  11  1    1   1    0    7   57.490817   0    0  1.317513  58.923525 0.133769  59.173399  0   0   59.173399 0.817602   3  
  19  11  3    3   1    0    7   60.489460   0    0  1.084241  61.722231 0.076169  61.922152  0   0   61.922152 1.067487   3  
  20  10  4    4   1    0    7   63.488108   0    0  1.051051  64.670901 0.106219  64.904132  0   0   64.904132 1.084152   3  
  21  10  1    2   0    0    6   66.503422   0    0  1.250847  67.919446 0.362439  68.402548  0   0   68.402548 0.601080   3  
  22  10  3    4   0    0    7   69.502060   0    0  0.901244  70.518270 0.088384  70.734831  0   0   70.734831 1.267450   3  
  23  11  1    1   1    0    7   72.500706   0    0  1.134425  73.766802 0.062274  73.950055  0   0   73.950055 1.050869   3  
  24  11  4    4   1    0    7   75.515988   0    0  0.916975  76.548880 0.713700  77.381839  0   0   77.381839 0.634400   3  
  25  10  3    2   0    0    5   78.514654   0    0  1.217769  79.897358 0.708707  80.730309  0   0   80.730309 1.284562   4  
  26  10  2    2   1    0    6   82.512833   0    0  1.283288  83.912167 0.336935  84.362015  0   0   84.362015 0.651068   3  
  27  10  3    3   1    0    7   85.511489   0    0  1.166742  86.844215 0.051198  87.010815  0   0   87.010815 1.000927   3  
  28   9  3    4   0    0    7   88.510136   0    0  1.084302  89.709575 0.194335  90.026134  0   0   90.026134 0.984256   3  
  29   9  2    4   0    0    7   91.508787   0    0  1.667545  93.307975 0.625776  94.057629  0   0   94.057629 0.951377   4  
  30  10  2    2   1    0    7   95.506983   0    0  0.934439  96.589823 0.142669  96.856391  0   0   96.856391 1.150813   3  
  31  10  3    3   1    0    7   98.505629   0    0  0.951363  99.588471 0.084079  99.788382  0   0   99.788382 1.217463   3  
  32   9  2    2   1    0    5  101.504265   0    0  1.384281 103.020169 0.429125 103.570000  0   0  103.570000 1.434508   4  
  33   9  3    3   1    0    7  105.502458   0    0  0.950197 106.601947 0.158623 106.885175  0   0  106.885175 1.117514   3  
  34   8  1    1   1    0    7  108.501115   0    0  0.950180 109.567294 0.365390 110.050419  0   0  110.050419 0.950925   3  
  35   8  1    4   0    0    5  111.499767   0    0  1.034514 112.649250 0.143384 112.915794  0   0  112.915794 1.084186   3  
  36   8  3    3   1    0    7  114.498322   0    0  1.000245 115.647890 0.223458 115.997728  0   0  115.997728 1.000900   3  
  37   8  2    2   1    0    6  117.497055   0    0  0.968137 118.613258 0.368819 119.096325  0   0  119.096325 0.900950   3  
  38   7  1    1   1    0    7  120.495702   0    0  1.150935 121.761801 0.427462 122.311549  0   0  122.311549 0.684384   3  
  39   7  1    2   0    0    6  123.511047   0    0  1.217606 124.893715 0.694570 125.710019  0   0  125.710019 1.301222   4  
  40   7  4    3   0    0    5  127.509192   0    0  1.150068 128.808632 0.997308 129.924790  0   0  129.924790 1.084636   4  
  41   8  1    2   0    0    7  131.507391   0    0  1.800738 133.473166 0.879796 134.472776  0   0  134.472776 0.534852   4  
  42   8  2    2   1    0    5  135.505595   0    0  1.434007 137.071548 0.564891 137.754576  0   0  137.754576 1.251219   4  
  43   8  2    2   1    0    5  139.503781   0    0  1.450933 141.103059 0.694204 141.919357  0   0  141.919357 1.084656   4  
  44   7  2    2   1    0    7  143.501986   0    0  1.617774 145.301180 0.498330 145.917601  0   0  145.917601 1.084606   4  
  45   7  4    1   0    0    7  147.500176   0    0  1.217554 148.849573 0.155679 149.132770  0   0  149.132770 0.867638   3  
  46   7  1    2   0    0    5  150.498829   0    0  1.634575 152.281313 0.724719 153.130972  0   0  153.130972 0.868061   4  
  47   8  2    1   0    0    7  154.497021   0    0  1.817280 156.446143 0.348757 156.912584  0   0  156.912584 1.084657   4  
  48   8  1    3   0    0    6  158.495212   0    0  2.383762 160.994081 0.934299 162.043604  0   0  162.043604 0.951880   5  
  49   9  3    2   0    0    5  163.492947   0    0  2.432842 166.108448 0.401601 166.624864  0   0  166.624864 1.368311   5  
  50   9  4    2   0    0    5  168.490692   0    0  1.433275 170.056658 0.701919 170.872967  0   0  170.872967 1.117961   4  
  51  10  2    2   1    0    5  172.505533   0    0  2.116340 174.804513 0.932787 175.854045  0   0  175.854045 1.151671   5  
  52  10  2    3   0    0    6  177.503303   0    0  1.684021 179.352485 0.230037 179.702302  0   0  179.702302 1.301213   4  
  53  10  1    2   0    0    6  181.501453   0    0  0.884430 182.617677 0.812474 183.550571  0   0  183.550571 1.451155   4  
  54  11  3    3   1    0    7  185.499680   0    0  1.566574 187.182204 0.137087 187.432140  0   0  187.432140 0.567678   3  
  55  11  2    3   0    0    7  188.498330   0    0  1.749907 190.364167 0.074781 190.564064  0   0  190.564064 1.434498   4  
  56  11  3    2   0    0    6  192.496524   0    0  1.084028 193.745979 0.110679 193.979186  0   0  193.979186 1.017503   3  
  57  12  4    2   0    0    5  195.495188   0    0  2.282887 197.894082 0.114111 198.127322  0   0  198.127322 0.867996   4  
  58  12  4    2   0    0    7  199.493375   0    0  1.516370 201.159281 0.082374 201.359190  0   0  201.359190 0.634261   3  
  59  13  3    3   1    0    7  202.492005   0    0  1.683154 204.324522 0.252340 204.691023  0   0  204.691023 1.301206   4  
  60  13  3    3   1    0    7  206.490198   0    0  1.350020 207.972887 0.093320 208.189431  0   0  208.189431 0.800849   3  
]; % This session completes at 27-Apr-2019 16:45:23, 211.003s after session start, 207s on 60 trials, totally 236.447s, correctness is 51.667%.

